"Time","Machine","User","Access","SourceAddr"
"2/26/2024 8:05:56 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/26/2024 6:32:55 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/26/2024 5:01:55 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/26/2024 3:49:08 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/26/2024 3:49:06 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/26/2024 3:31:55 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/26/2024 3:20:23 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/26/2024 1:46:53 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/26/2024 1:43:34 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/25/2024 11:57:53 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/25/2024 10:25:54 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/25/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/25/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/25/2024 8:42:53 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/25/2024 7:20:21 PM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/25/2024 6:46:52 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/25/2024 5:13:52 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/25/2024 3:28:51 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/25/2024 1:30:51 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/25/2024 11:40:51 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/25/2024 11:20:20 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/25/2024 9:51:51 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/25/2024 8:03:54 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/25/2024 8:03:49 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/25/2024 6:20:49 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/25/2024 4:40:49 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
